OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
0,0,566,7253.848476787941763
0,1,566,7248.275431943780859
0,2,566,7257.021144070826267
0,3,566,7258.669408025434677
0,4,566,7260.125151465370436
0,5,566,7250.613418313037982
0,6,566,7272.595661727854349
0,7,566,7267.721272513718759
0,8,566,7009.414440965316317
0,9,566,7167.719549735634246
0,10,566,7347.747746065294450
0,11,566,7579.547963051185434
0,12,566,7525.652558283818507
0,13,566,7633.995118629609351
0,14,566,7678.256870851327221
0,15,566,7563.579021552244740
0,16,566,7558.596151590167210
0,17,566,7385.043680621168278
0,18,566,7241.921658855429087
0,19,566,7296.592777598509201
0,20,566,7269.730959004818942
0,21,566,7242.439390427551189
0,22,566,7277.516326193855093
0,23,566,7273.378574595780265
0,24,566,7270.832842771557807
0,25,566,7252.845902165618099
0,26,566,7248.495932535868633
0,27,566,7261.136527159840625
0,28,566,7291.481978894379608
0,29,566,7271.615709354708088
0,30,566,7246.142047368989552
0,31,566,7253.198854103558915
0,32,566,7246.767050118628504
0,33,566,7244.051750532998085
0,34,566,6941.880896022971683
0,35,566,6934.801620288472805
0,36,566,7269.593568089795554
0,37,566,7263.120065264613913
0,38,566,7257.238477047060769
0,39,566,7256.659194981843029
0,40,566,7266.581464463639350
0,41,566,7329.964515314146411
0,42,566,7270.571686485549435
0,43,566,7269.726626090531681
0,44,566,7271.570224377279374
0,45,566,7271.539457066889554
0,46,566,7270.087788278641710
0,47,566,7272.070768985206087
0,48,566,7271.579404209903259
0,49,566,7270.664159063149782
0,50,566,7269.242983405562882
0,51,566,7271.864664604916470
0,52,566,7273.308760634742612
0,53,566,7259.965465583571131
0,54,566,7274.398760060766108
0,55,566,7268.605440393409481
0,56,566,7270.287560349173873
0,57,566,7275.975054304255536
0,58,566,7270.479737733329785
0,59,566,7275.226149605601677
0,60,566,7273.747626160459731
0,61,566,7272.525650057970779
0,62,566,7275.203837477528396
0,63,566,7268.455867083305748
0,64,566,7255.587068021055529
0,65,566,7254.228410095666732
0,66,566,7252.151293370494386
0,67,566,7255.894225456357162
0,68,566,7256.849086313732187
0,69,566,7256.272254666394474
0,70,566,7257.785363170437449
0,71,566,7254.777409030851231
0,72,566,7260.237330013228529
0,73,566,7261.369392749832514
0,74,566,7254.433443675768103
0,75,566,7254.989464257893815
0,76,566,7273.257561070466181
0,77,566,7256.052230085914744
0,78,566,7263.912252680146594
0,79,566,7254.535462325412482
0,80,566,7250.402534284274225
0,81,566,7256.348170680794283
0,82,566,7265.372998763109536
0,83,566,7254.887887330285594
0,84,566,7253.795133405073102
0,85,566,7247.150167114772557
0,86,566,7256.398881401040853
0,87,566,7254.312286758722621
0,88,566,7252.875171958364263
0,89,566,7252.421072868131887
0,90,566,7255.773189934512629
0,91,566,7253.774366947618546
0,92,566,7255.484111829522590
0,93,566,7056.362605655376683
0,94,566,6938.872294504526508
0,95,566,6831.671343500828698
0,96,566,6974.708781513819304
0,97,566,7065.320168560627280
0,98,566,7188.702376737634040
0,99,566,7450.724164287727035
0,100,566,7658.494265961364363
0,101,566,7779.818803870080046
0,102,566,7652.679114708521411
0,103,566,7677.857668209710027
0,104,566,7683.230852950564440
0,105,566,7638.060499452341901
0,106,566,7472.726657916027762
0,107,566,7276.151700625670856
0,108,566,7268.052638367765212
0,109,566,7262.921847039397107
0,110,566,7274.692490613116206
0,111,566,7270.416923403791770
0,112,566,7266.864003334144400
0,113,566,7259.922298521696575
0,114,566,7264.063115676286543
0,115,566,7256.247866311852704
0,116,566,7233.619369719572205
0,117,566,7262.336430426248626
0,118,566,7262.373123104873230
0,119,566,7256.014500338535981
0,120,566,7258.253049300901694
0,121,566,7246.318653861910207
0,122,566,7007.408742982823242
0,123,566,7239.107184459289783
0,124,566,7240.796663738477946
0,125,566,7246.457913237602042
0,126,566,7263.214974189268105
0,127,566,7263.322320648366258
0,128,566,7274.248176049030917
0,129,566,7274.531237435413459
0,130,566,7274.217368320945752
0,131,566,7273.809355399067499
0,132,566,7264.968663397448836
0,133,566,7270.272590066157136
0,134,566,7267.172030279712999
0,135,566,7270.832842771557807
0,136,566,7263.965091103866143
0,137,566,7267.774650503276462
0,138,566,7271.628306400588372
0,139,566,7269.771968173229652
0,140,566,7270.540978698126310
0,141,566,7275.226289398457084
0,142,566,7270.963514805368504
0,143,566,7270.488354899278420
0,144,566,7258.100168542291613
0,145,566,7275.156496811328907
0,146,566,7270.549875630666975
0,147,566,7275.939621580684616
0,148,566,7270.160114639353196
0,149,566,7264.181680668780245
0,150,566,7265.619061204149148
0,151,566,7264.045383186836261
0,152,566,7264.015024248319605
0,153,566,7265.474450074411834
0,154,566,7268.011188719809070
0,155,566,7261.477436866572134
0,156,566,7256.594223130267892
0,157,566,7252.374496862869819
0,158,566,7253.956915147016844
0,159,566,7260.465444904890319
0,160,566,7250.010383982541498
0,161,566,7265.209698504361768
0,162,566,7250.349207750830828
0,163,566,7252.362870312009363
0,164,566,7261.050292345152229
0,165,566,7252.362870312009363
0,166,566,7254.193485904552290
0,167,566,7255.033121230572760
0,168,566,7253.573904858674723
0,169,566,7238.668581834393990
0,170,566,7238.932046384496971
0,171,566,7243.142992375016547
0,172,566,7236.594877488492784
0,173,566,7237.799720467533916
0,174,566,7253.916950226382141
0,175,566,7252.970370324706892
0,176,566,7259.523519109165136
0,177,566,7235.703373053745963
0,178,566,7114.538897156257008
0,179,566,6984.325517765266341
0,180,566,7131.382693337255660
0,181,566,7227.494162566299565
0,182,566,7148.632556369769190
0,183,566,7110.171322852008416
0,184,566,7026.140679334997003
0,185,566,7031.277125590904689
0,186,566,7018.838287781391955
0,187,566,7204.826644239946290
0,188,566,7184.346699771931526
0,189,566,7143.908201163455487
0,190,566,7054.813008265426106
0,191,566,7023.389908448651113
0,192,566,7057.911100889099544
0,193,566,7113.075201043457128
0,194,566,7176.207768698895961
0,195,566,7169.059381854362073
0,196,566,7243.064377509675978
0,197,566,7258.684011404852754
0,198,566,7286.915114690262271
0,199,566,7269.035411640989878
0,200,566,7277.069022140089146
0,201,566,7270.461421558652546
0,202,566,7282.363086609405400
0,203,566,7289.271069457889098
0,204,566,7272.080021821920127
0,205,566,7269.942066822897687
0,206,566,7269.448436797119030
0,207,566,7270.680645622459451
0,208,566,7271.249977933154696
0,209,566,7268.439262425227753
0,210,566,7262.574518632687614
0,211,566,7263.882523532138293
0,212,566,7156.024277820497446
0,213,566,7255.638218036838225
0,214,566,7248.756264248318985
0,215,566,7259.938799212877711
0,216,566,7249.378067483088671
0,217,566,7250.904786594914185
0,218,566,7260.339632636217175
0,219,566,7245.051030713193541
0,220,566,7274.240361347689031
0,221,566,7237.374130369002160
0,222,566,7260.152877869042641
0,223,566,7256.255897934073801
0,224,566,7255.693411289167670
0,225,566,7257.489679963201525
0,226,566,7259.328377654505857
0,227,566,7253.213728572588479
0,228,566,7254.604118609391662
0,229,566,7256.234022151969839
0,230,566,7260.769683657724272
0,231,566,7256.929829547226291
0,232,566,7256.203813052338774
0,233,566,7254.462247934511652
0,234,566,7258.485595022558300
0,235,566,7256.162644871192242
0,236,566,7254.196823384028903
0,237,566,7256.020512535369562
0,238,566,7255.577599957236998
0,239,566,7252.475841830834725
0,240,566,7252.056066800150802
0,241,566,7254.291758500336982
0,242,566,7258.912085421906340
0,243,566,7254.431477622707462
0,244,566,7251.883548868212529
0,245,566,7252.875171958364263
0,246,566,7246.809802535763993
0,247,566,7254.885812526506015
0,248,566,7259.882526903629696
0,249,566,7255.214294046852046
0,250,566,7252.295042284780720
0,251,566,7251.214996763729687
0,252,566,7245.476577105769138
0,253,566,7251.190745181133934
0,254,566,7247.643046266647616
0,255,566,7246.935561707997294
0,256,566,7246.981622347318989
0,257,566,7251.421689854590113
0,258,566,7235.498867547654299
0,259,566,7240.379863111151280
0,260,566,7253.021427764131658
0,261,566,7252.762701669849775
0,262,566,7253.201551579762963
0,263,566,7252.187868067692762
0,264,566,7263.475646206075908
0,265,566,7494.308468301093853
0,266,566,7611.397159874843965
0,267,566,7702.489371283671971
0,268,566,7627.393913928014626
0,269,566,7470.052276600411460
0,270,566,7578.057826326542454
0,271,566,7513.174973357197814
0,272,566,7530.738912873546724
0,273,566,7506.325901597616394
0,274,566,7485.134820405432947
0,275,566,7404.907764118638624
0,276,566,7319.391485248257595
0,277,566,7350.208660115022212
0,278,566,7250.410344441123016
0,279,566,7271.896882745815674
0,280,566,7269.564651984623197
0,281,566,7269.925705761909740
0,282,566,7279.448562746531934
0,283,566,7270.457681838567623
0,284,566,7289.245112459326265
0,285,566,7288.568537152049430
0,286,566,7275.495872791830152
0,287,566,7284.130964877896076
0,288,566,7278.538931233470066
0,289,566,7262.968586612618310
0,290,566,7262.089077273944895
0,291,566,7244.815930254728300
0,292,566,7257.222113052089298
0,293,566,7260.197164224105109
0,294,566,7266.797967744893867
0,295,566,7267.188305862250672
0,296,566,7276.298038777807051
0,297,566,7274.617040131732210
0,298,566,7271.972576706218206
0,299,566,7262.451998225266834
0,300,566,7078.175876387187600
0,301,566,7274.711239754317830
0,302,566,7268.174754544264943
0,303,566,7267.444970594092410
0,304,566,7272.965709332818733
0,305,566,7269.526151019758800
0,306,566,7251.624523063752349
0,307,566,7254.682501522625898
0,308,566,7255.171587220450419
0,309,566,7254.376445365944164
0,310,566,7250.986612771601358
0,311,566,7252.939228474105221
0,312,566,7257.544378244650034
0,313,566,7253.651492645510189
0,314,566,7251.094206816461337
0,315,566,7253.197508470725552
0,316,566,7252.266602775177489
0,317,566,7252.723125758498099
0,318,566,7253.129859868815402
0,319,566,7251.873169512096865
0,320,566,7262.441984818237870
0,321,566,7200.636730579262803
0,322,566,7260.427836719258266
0,323,566,7266.512450032646484
0,324,566,7303.182249496458098
0,325,566,7299.382314158844565
0,326,566,7274.056306712742298
0,327,566,7270.310336936927342
0,328,566,7269.148222357143823
0,329,566,7267.757948576535455
0,330,566,7273.140963224238476
0,331,566,7267.878206573995158
0,332,566,7253.619970743550766
0,333,566,7259.645034222477079
0,334,566,7253.557101936318759
0,335,566,7252.890423389544594
0,336,566,7253.885725237641964
0,337,566,7252.717514188375389
0,338,566,7247.809665771976142
0,339,566,7252.203610973335344
0,340,566,7251.529287889286934
0,341,566,7246.464915656407356
0,342,566,7249.542680045250563
0,343,566,7257.278834581613410
0,344,566,7248.451523511730556
0,345,566,7252.543961909931568
0,346,566,7248.399248025850284
0,347,566,7251.935479985319944
0,348,566,7238.190857308704835
0,349,566,7262.938132288729321
0,350,566,7255.708662113102946
0,351,566,7258.237580569314559
0,352,566,7255.415175910309699
0,353,566,7255.458840572726331
0,354,566,7253.621332602455368
0,355,566,7150.456271705445943
0,356,566,6929.105096804742971
0,357,566,6966.140963075349646
0,358,566,7183.523482832261834
0,359,566,7388.690148507169397
0,360,566,7371.371592683285598
0,361,566,7369.705706395320703
0,362,566,7376.295140617448851
0,363,566,7377.176821573760208
0,364,566,7376.325894683694059
0,365,566,7502.237694124942209
0,366,566,7782.745119508841526
0,367,566,8052.951744246722228
0,368,566,8126.273270306600352
0,369,566,7950.988902662370492
0,370,566,7683.740216243261784
0,371,566,7542.079942965210648
0,372,566,7422.467218965687607
0,373,566,7253.364958366149040
0,374,566,7251.920112638905266
0,375,566,7247.436239410388225
0,376,566,7244.227922409769235
0,377,566,7260.375678955477269
0,378,566,7264.813561500294782
0,379,566,7261.913242741317845
0,380,566,7265.985954239005878
0,381,566,7272.465016504577761
0,382,566,7276.160793950653897
0,383,566,7268.355677121437111
0,384,566,7261.683925605154400
0,385,566,7264.665611977768094
0,386,566,7244.112990710334998
0,387,566,7261.345387644734728
0,388,566,7311.850188833644097
0,389,566,7258.328845885343981
0,390,566,7273.533384926888175
0,391,566,7251.940368039931855
0,392,566,7251.878378629033250
0,393,566,7250.709323244882398
0,394,566,7247.973352404289471
0,395,566,7252.348058290260269
0,396,566,7247.295103320274393
0,397,566,7259.464060921914097
0,398,566,7249.979124882480392
0,399,566,7236.267010902789480
0,400,566,7246.502987318970554
0,401,566,7245.207015685318765
0,402,566,7250.498302214465184
0,403,566,7251.702898100991661
0,404,566,7249.551315722009349
0,405,566,7249.768838316181245
0,406,566,7251.204418671346502
0,407,566,7255.538647720161862
0,408,566,7266.104590145781913
0,409,566,7259.216319182965890
0,410,566,7264.369195730354477
0,411,566,7260.945462840022628
0,412,566,7259.905989150505775
0,413,566,7282.256721951574946
0,414,566,7260.030117217521365
0,415,566,7275.673754600292341
0,416,566,7253.843506903273010
0,417,566,7248.865448434820792
0,418,566,7250.810864269213198
0,419,566,7250.873420797764993
0,420,566,7253.278172814482787
0,421,566,7251.394099913735772
0,422,566,7281.232658702311710
0,423,566,7254.390800708270035
0,424,566,7257.476343523237119
0,425,566,7243.700095222706295
0,426,566,7249.577865323581136
0,427,566,7252.201753182720495
0,428,566,7256.073358007235584
0,429,566,7259.990149890656539
0,430,566,7270.755401203283327
0,431,566,7260.558615054103939
0,432,566,7258.751289079059461
0,433,566,7258.838788111290341
0,434,566,7248.658235493768188
0,435,566,7254.209542595150197
0,436,566,7255.085589419855751
0,437,566,7252.908144963668747
0,438,566,7258.666838196831122
0,439,566,7252.793633688677801
0,440,566,7260.875673714304867
0,441,566,7185.654707744186453
0,442,566,7393.353426571421551
0,443,566,7621.631906398103638
0,444,566,7823.766545693429180
0,445,566,8036.111077638319330
0,446,566,8263.258722464615857
0,447,566,8185.991500987389372
0,448,566,8184.745843966874418
0,449,566,8124.081202594535171
0,450,566,8199.542203108670947
0,451,566,8090.499399376361907
0,452,566,7827.477812069274478
0,453,566,7716.786427907825782
0,454,566,7731.578219169151453
0,455,566,7752.154461010078194
0,456,566,7764.618105048198231
0,457,566,7715.810501188363560
0,458,566,7597.671888968146959
0,459,566,7604.467968214847133
0,460,566,7508.490774994405001
0,461,566,7233.068818563563582
0,462,566,7256.127182450713008
0,463,566,7258.182244477466156
0,464,566,7259.404468254972926
0,465,566,7261.232219454047481
0,466,566,7253.145590947308847
0,467,566,7264.210831270458584
0,468,566,7260.225682635845260
0,469,566,7261.200534700416028
0,470,566,7271.710026947230290
0,471,566,7265.537215216410914
0,472,566,7271.679107660023874
0,473,566,7272.210528557594444
0,474,566,7042.764414819221201
0,475,566,7249.817255075227877
0,476,566,7278.807938955009377
0,477,566,7260.130443419487165
0,478,566,7262.852870590010752
0,479,566,7264.190181372061488
0,480,566,7264.629362264424344
0,481,566,7261.694170392525848
0,482,566,7262.173033578060313
0,483,566,7263.820166686421544
0,484,566,7250.478902948714676
0,485,566,7255.054554258666030
0,486,566,7259.543962963341073
0,487,566,7254.260055135760922
0,488,566,7252.549490261633764
0,489,566,7250.892915167072715
0,490,566,7255.117241268900216
0,491,566,7255.766016339985072
0,492,566,7263.921794908441370
0,493,566,7257.515983057706762
0,494,566,7256.389807472289249
0,495,566,7249.188867181830574
0,496,566,7258.377451649399518
0,497,566,7238.808747453184878
0,498,566,7258.628542313158505
0,499,566,7261.421368639761567
0,500,566,7258.616439050117151
0,501,566,7253.309444785858432
0,502,566,7258.133801661918369
0,503,566,7257.660899930182495
0,504,566,7259.436301557651859
0,505,566,7258.252508066601877
0,506,566,7257.954218764562029
0,507,566,7258.809394160125521
0,508,566,7256.442957670359647
0,509,566,7287.865753256343851
0,510,566,7267.947141051170547
0,511,566,7254.312108026912938
0,512,566,7255.786949151506633
0,513,566,7248.615014714469908
0,514,566,7245.668512518289390
0,515,566,7257.183406296901012
0,516,566,7256.918310533109434
0,517,566,7254.971062177591193
0,518,566,7258.271909356975812
0,519,566,7257.625707633770617
0,520,566,7250.482817551664994
0,521,566,7256.760971459211760
0,522,566,7257.255573209582508
0,523,566,7253.325284769951395
0,524,566,7262.101339343008476
0,525,566,7258.890795510421412
0,526,566,7243.079506401760227
0,527,566,7254.547148399634352
0,528,566,7253.901645342750271
0,529,566,7318.909992010295355
0,530,566,7113.150279971384407
0,531,566,7084.808795274774639
0,532,566,7069.782688473112103
0,533,566,7192.513849320995178
0,534,566,7212.935196989908036
0,535,566,7194.298935454044113
0,536,566,7132.168376455865655
0,537,566,7144.583510956647842
0,538,566,7250.492092625051555
0,539,566,7397.574568084156454
0,540,566,7615.036892211222039
0,541,566,7839.661714175086672
0,542,566,7934.674746088221582
0,543,566,7808.555627362923587
0,544,566,7693.670138660035263
0,545,566,7575.315136434080159
0,546,566,7426.988377281316389
0,547,566,7289.673531787936554
0,548,566,7266.840124787264358
0,549,566,7262.959276961380965
0,550,566,7264.942083615506817
0,551,566,7267.941839948472079
0,552,566,7257.724875021169282
0,553,566,7253.786723090507621
0,554,566,7253.670666817373785
0,555,566,7260.544321827505883
0,556,566,7264.917422189541867
0,557,566,7273.986495393526639
0,558,566,7273.850925145345172
0,559,566,7275.035864971757292
0,560,566,7274.010492246347894
0,561,566,7268.346037910127961
0,562,566,7269.687322171698725
0,563,566,7261.189736555662421
0,564,566,7247.281000580221189
0,565,566,7258.366679782324354
0,566,566,7260.366616362653986
0,567,566,7259.577313439618592
0,568,566,7264.304241953168457
0,569,566,7259.141809751626170
0,570,566,7264.776196387851087
0,571,566,7268.042605985101545
0,572,566,7278.812356190255741
0,573,566,7261.379768416004481
0,574,566,7264.059554096036663
0,575,566,7260.809777018895147
0,576,566,7261.340248943583902
0,577,566,7258.187053925057626
0,578,566,7258.652231053529249
0,579,566,7257.870993590849139
0,580,566,7256.816054649657417
0,581,566,7259.886974567328252
0,582,566,7264.866871583301872
0,583,566,7267.604054875639122
0,584,566,7274.239235189788815
0,585,566,7271.720479582650114
0,586,566,7274.592189709662307
0,587,566,7268.534901993605672
0,588,566,7271.314173671378740
0,589,566,7269.595218543560804
0,590,566,7272.409909751360829
0,591,566,7271.742008776601324
0,592,566,7266.864003334144400
0,593,566,7268.780768111557336
0,594,566,7267.818367471571946
0,595,566,7264.622699626831491
0,596,566,7259.792865892600275
0,597,566,7268.585950334222616
0,598,566,7260.314020356604487
0,599,566,7266.050291031081542
0,600,566,7267.343202007135915
0,601,566,7266.327006321310364
0,602,566,7265.020201712594826
0,603,566,7249.983174861898988
0,604,566,7265.227298622658054
0,605,566,7258.972972687180118
0,606,566,7267.281144601281085
0,607,566,7266.595864006902957
0,608,566,7265.443896716054041
0,609,566,7261.937381551558246
0,610,566,7266.520109104430048
0,611,566,7260.152910503961721
0,612,566,7251.384932429190485
0,613,566,7250.509268845329643
0,614,566,7253.208033143595458
0,615,566,7255.416830399442006
0,616,566,7253.332310517260339
0,617,566,7256.279913651439529
0,618,566,7250.207581129646314
0,619,566,7258.732385538322887
0,620,566,7245.662088304047757
0,621,566,7257.722516744603126
0,622,566,7263.128271403571489
0,623,566,7254.279996394525369
0,624,566,7258.077028879454701
0,625,566,7249.538072545741670
0,626,566,7255.621363042339908
0,627,566,7111.841211891413877
0,628,566,7182.025174329288348
0,629,566,7077.221267039287341
0,630,566,7121.382591485483317
0,631,566,7247.954535655640029
0,632,566,7227.972689752155929
0,633,566,7480.286688332802441
0,634,566,7664.887898196553579
0,635,566,7698.072119136206311
0,636,566,7788.107475710468862
0,637,566,7925.613521292505538
0,638,566,7878.096060540661711
0,639,566,7719.314356290073192
0,640,566,7580.985781305206729
0,641,566,7461.837219375794120
0,642,566,7251.947443706246304
0,643,566,7254.929839154880028
0,644,566,7255.356867940312441
0,645,566,7250.779660479114682
0,646,566,7242.614550969417905
0,647,566,7240.913594190060394
0,648,566,7264.896712234061852
0,649,566,7248.940237285073636
0,650,566,7078.179801145371130
0,651,566,7078.997247882088232
0,652,566,7446.138552811256886
0,653,566,7244.057023698244848
0,654,566,7262.906868129998657
0,655,566,7267.540533460563893
0,656,566,7259.532151155564861
0,657,566,7249.208655396804716
0,658,566,7258.546649176580104
0,659,566,7261.179185897371099
0,660,566,7258.645829316021263
0,661,566,7247.471694136547740
0,662,566,7257.342141492842529
0,663,566,7263.336470889314114
0,664,566,7282.117728786860425
0,665,566,7263.758998653504932
0,666,566,7267.229271053757657
0,667,566,7265.619061204149148
0,668,566,7280.765736771937554
0,669,566,7266.571541967608027
0,670,566,7264.994292511025378
0,671,566,7268.602592458958497
0,672,566,7268.945174147785110
0,673,566,7268.491187748575612
0,674,566,7266.673277401285304
0,675,566,7261.948850367542946
0,676,566,7279.678798703214852
0,677,566,7243.870242459492147
0,678,566,7238.601361434441060
0,679,566,7243.149454417095512
0,680,566,7240.709209964864385
0,681,566,7251.345387502135964
0,682,566,7241.312328576867003
0,683,566,7236.410997207422952
0,684,566,7258.460602639760509
0,685,566,7238.330212890614348
0,686,566,7240.169472613481958
0,687,566,7233.799060506690694
0,688,566,7238.190321349065016
0,689,566,7228.022170032772010
0,690,566,7238.170001376908658
0,691,566,7235.820953245548480
0,692,566,7252.850084855635032
0,693,566,7237.330497813851252
0,694,566,7250.334823591498207
0,695,566,7236.864859743544912
0,696,566,7238.222149526383873
0,697,566,7227.043541497409024
0,698,566,7240.141357930420781
0,699,566,7240.212024661936994
0,700,566,7238.971720933589495
0,701,566,7240.913249514698691
0,702,566,7238.517208558509083
0,703,566,7237.661893604809848
0,704,566,7245.580116897454900
0,705,566,7240.574815285737714
0,706,566,7260.911857579419120
0,707,566,7259.196945641720049
0,708,566,7261.252265363271363
0,709,566,7246.576895380489987
0,710,566,7235.932989579855530
0,711,566,7235.262025646968141
0,712,566,7242.199964547527088
0,713,566,7251.122783376405096
0,714,566,7349.686690955782069
0,715,566,7686.751611811426301
0,716,566,7921.385145799410566
0,717,566,8164.888203942846303
0,718,566,8224.278819203218518
0,719,566,7954.397374695825420
0,720,566,8079.507930311281598
0,721,566,7978.750535315658453
0,722,566,7851.442404295264168
0,723,566,7581.101756562576156
0,724,566,7540.974863780316809
0,725,566,7402.589756018102889
0,726,566,7266.973573956637665
0,727,566,7264.999905674301772
